duration,numberOfSubscribers,view,time(sec)
0:15,3900000,282347,15
0:15,250000,93357,15
0:15,429000,1581732,15
0:15,560000,98482,15
0:15,624000,42891,15
0:15,4620000,675643,15
0:15,4730000,2302157,15
0:15,560000,98248,15
0:15,427000,2125,15
0:15,3020,97,15
0:15,36,1,15
0:15,121000,75298,15
0:15,507000,625840,15
0:15,12900000,2671238,15
0:15,1220000,2995044,15
0:15,0,4,15
0:15,734000,139159,15
0:15,435000,24349,15
0:15,2480000,58778,15
0:15,2480000,79203,15
0:15,292000,82536,15
0:15,140000,54855,15
0:15,0,2953,15
0:15,1220000,1992375,15
0:15,488000,147813,15
0:15,949000,110025,15
0:15,567000,250820,15
0:15,907000,1350268,15
0:15,0,3155,15
0:15,259,1625,15
0:15,217000,69985,15
0:15,435000,42809,15
0:15,2480000,21416,15
0:15,14700000,16356,15
0:15,280000,7602,15
0:15,567000,142749,15
0:15,0,5264,15
0:15,4490000,70689,15
0:15,4490000,361498,15
0:15,327000,6850513,15
0:15,771000,9829,15
0:15,292000,40909,15
0:15,567000,102773,15
0:15,994000,284957,15
0:15,1220000,1162262,15
0:15,3900000,399148,15
0:15,12400,25761,15
0:15,1320000,43392,15
0:15,567000,1062882,15
0:15,6480000,121704,15
0:15,1320000,51399,15
0:15,207000,144345,15
0:15,97700,71571,15
0:15,567000,158983,15
0:15,549000,20741,15
0:15,450000,227548,15
0:15,2140000,204782,15
0:15,518000,521163,15
0:15,4490000,617964,15
0:15,331000,277231,15
0:15,2480000,44388,15
0:15,287000,128878,15
0:15,175000,35588180,15
0:15,5980000,576276,15
0:15,4490000,1533872,15
0:15,2270000,536467,15
0:15,567000,291869,15
0:15,249000,47327,15
0:15,567000,161206,15
0:15,0,1141,15
0:15,1320000,106322,15
0:15,4210000,658674,15
0:15,172000,53784,15
0:15,678000,1215614,15
0:15,737000,150053,15
0:15,1670000,256927,15
0:15,737000,910059,15
0:15,2480000,17817,15
0:15,2480000,109039,15
0:15,433000,83926,15
0:15,593000,299655,15
0:15,737000,195644,15
0:15,5080000,4037099,15
0:15,0,2931,15
0:15,1160000,38319,15
0:15,1160000,22617,15
0:15,1480000,65751,15
0:15,1480000,617001,15
0:15,4490000,414126,15
0:15,68000,3150,15
0:15,2480000,114225,15
0:15,292000,3542,15
0:15,1620000,593724,15
0:15,678000,131700,15
0:15,3570000,880950,15
0:15,2480000,623941,15
0:15,5620000,7070,15
0:15,567000,269919,15
0:15,2480000,301089,15
0:15,17000000,8639645,15
0:15,771000,83309,15
0:15,4490000,897321,15
0:15,76900,6758,15
0:15,5000000,3000163,15
0:15,51,839,15
0:15,1220000,562283,15
0:15,2480000,523139,15
0:15,294000,3853,15
0:15,1300000,3211,15
0:15,1480000,148434,15
0:15,2480000,22079,15
0:15,4490000,81826,15
0:15,2480000,352414,15
0:15,4490000,446123,15
0:15,875000,147740,15
0:15,4490000,1241309,15
0:15,242,54592,15
0:15,2270000,271531,15
0:15,5980000,1239746,15
0:15,4490000,386666,15
0:15,0,539478,15
0:15,554000,903404,15
0:15,1400000,275518,15
0:15,2000000,62462,15
0:15,2320,77703,15
0:15,1400000,242283,15
0:15,1620000,863815,15
0:15,15700000,2836834,15
0:15,4490000,232169,15
0:15,97700,26287,15
0:15,1850000,986857,15
0:15,518000,473627,15
0:15,567000,63635,15
0:15,1850000,711150,15
0:15,67200,596171,15
0:15,5620000,7935,15
0:15,3900000,729302,15
0:15,873000,23961,15
0:15,4490000,768797,15
0:15,567000,276299,15
0:15,2480000,64206,15
0:15,139000,58080,15
0:15,8900000,4219523,15
0:15,528000,10379,15
0:15,3900000,468003,15
0:15,860000,369682,15
0:15,1670000,644553,15
0:15,15700000,3424456,15
0:15,2480000,269047,15
0:15,68000,3655,15
0:15,1850000,947666,15
0:15,875000,201152,15
0:15,145000,154832,15
0:15,1850000,2997608,15
0:15,630000,357929,15
0:15,194000,11875,15
0:15,273000,174221,15
0:15,4320000,21342865,15
0:15,1850000,1387045,15
0:15,2480000,86363,15
0:15,1480000,1283237,15
0:15,0,1842,15
0:15,1220000,1165376,15
0:15,963000,147847,15
0:15,1220000,783141,15
0:15,1300000,8849,15
0:15,4490000,282814,15
0:15,6480000,59644,15
0:15,4490000,228260,15
0:15,68000,6437,15
0:15,339000,264733,15
0:15,567000,113161,15
0:15,38000000,13811527,15
0:15,51100,246,15
0:15,567000,392172,15
0:15,4490000,257140,15
0:15,210000,90439,15
0:15,5980000,11710528,15
0:15,84100,64080,15
0:15,567000,191707,15
0:15,45500,28954,15
0:15,1380000,2567679,15
0:15,587000,5832,15
0:15,1220000,1037599,15
0:15,860000,2963719,15
0:15,567000,303077,15
0:15,567000,582446,15
0:15,2480000,472923,15
0:15,567000,138384,15
0:15,1880000,296860,15
0:15,567000,250544,15
0:15,0,38,15
0:15,1690000,5580891,15
0:15,1480000,36072,15
0:15,2480000,1087726,15
0:15,278000,3758,15
0:15,567000,223012,15
0:15,567000,194190,15
0:15,11300,234704,15
0:15,1670000,454383,15
0:15,6020,11794,15
0:15,871000,33769,15
0:15,33300000,19136,15
0:15,61600,71633,15
0:15,12400000,5682777,15
0:15,450000,13660,15
0:15,1480000,33390,15
0:15,11100,236324,15
0:15,56000,3242518,15
0:15,518000,6998,15
0:15,237000,150972,15
0:15,4760,73,15
0:15,822000,903164,15
0:15,145000,175396,15
0:15,3900000,448353,15
0:15,207000,3672,15
0:15,246000,41141,15
0:15,9950000,17898428,15
0:15,5050000,112251,15
0:15,1160000,762113,15
0:15,462000,102618,15
0:15,12900000,2807766,15
0:15,3750000,65341,15
0:15,506000,570795,15
0:15,886000,93152,15
0:15,132000,7604,15
0:15,292000,15653,15
0:15,4210000,28752,15
0:15,518000,189653,15
0:15,12900000,6145312,15
0:15,870000,75539,15
0:15,506000,110685,15
0:15,2480000,854932,15
0:15,2480000,3144,15
0:15,0,665,15
0:15,419000,81192,15
0:15,1320000,356736,15
0:15,717000,17822,15
0:15,3350,53972,15
0:15,506000,76299,15
0:15,1240000,5335,15
0:15,624000,18724,15
0:15,3900000,2740383,15
0:15,1160000,7201,15
0:15,302000,44372,15
0:15,771000,21209,15
0:15,1880000,82332,15
0:15,1160000,7866,15
0:15,157000,122123,15
0:15,2480000,14104,15
0:15,157000,76355,15
0:15,506000,129431,15
0:15,119000,2552,15
0:15,2480000,7074,15
0:15,518000,2519,15
0:15,1320000,18283,15
0:15,543000,49421,15
0:15,1010000,183500,15
0:15,1850000,6284,15
0:15,97700,7602,15
0:15,0,1646,15
0:15,3960000,11298221,15
0:15,1220000,111905,15
0:15,554000,13567,15
0:15,2480000,296135,15
0:15,1320000,23883,15
0:15,554000,11919,15
0:15,292000,18736,15
0:15,875000,245385,15
0:15,59700,24206,15
0:15,12900000,2322485,15
0:15,506000,55605,15
0:15,1760000,1902746,15
0:15,554000,10169,15
0:15,13900,6732,15
0:15,30600,80501,15
0:15,846000,885624,15
0:15,293000,356407,15
0:15,788000,3874,15
0:15,1880000,394346,15
0:15,791000,4749,15
0:15,293000,833110,15
0:15,58200,4124,15
0:15,531000,1478636,15
0:15,973000,56629,15
0:15,249000,20228,15
0:15,249000,16166,15
0:15,305000,22955,15
0:15,5650000,11361,15
0:15,2480000,60591,15
0:15,12900000,4815844,15
0:15,1110000,1180526,15
0:15,33300000,5121489,15
0:15,664000,4128,15
0:15,778000,2152,15
0:15,419000,17441,15
0:15,8520,2689,15
0:15,4210000,3681145,15
0:15,462000,77837,15
0:15,12900000,1166054,15
0:15,518000,222598,15
0:15,130000,2928,15
0:15,12400,12397,15
0:15,210000,67157,15
0:15,68000,577,15
0:15,319000,3883,15
0:15,518000,33512,15
0:15,1480000,92461,15
0:15,23500,17066,15
0:15,2630000,2061,15
0:15,0,39034,15
0:15,2480000,61254,15
0:14,2810,134,14
0:14,6710,30,14
0:14,26600,8,14
0:14,2810,166,14
0:14,6100,16,14
0:14,0,13,14
0:14,0,123,14
0:14,0,2,14
0:14,4210000,53452,14
0:14,0,2389,14
0:14,78500,309557,14
0:14,0,4,14
0:13,0,2563,13
0:13,0,1633,13
0:13,0,11,13
0:13,0,96,13
0:13,0,1375,13
0:13,513000,47690,13
0:13,1820,452,13
0:13,0,4694,13
0:13,0,6,13
0:13,67200,46751,13
0:13,292000,30312,13
0:13,1800000,247771,13
0:12,0,2,12
0:12,0,40,12
0:12,7970,84,12
0:12,7970,73,12
0:12,0,7114899,12
0:12,0,3526,12
0:12,0,8259994,12
0:12,0,11,12
0:12,12200,3307,12
0:12,2200,0,12
0:11,0,3095,11
0:11,6,35,11
0:11,60200,3197,11
0:11,0,0,11
0:11,0,1153,11
0:11,0,2458,11
0:11,0,739,11
0:11,38,1050,11
