duration,numberOfSubscribers,view,time(sec)
5:45,757000,170802,345
5:42,2,0,342
5:42,1,2,342
5:41,540,3,341
5:40,87600,16867,340
5:39,8,3,339
5:39,11500,1382,339
5:38,69800,10526,338
5:37,26600,92,337
5:37,1450000,454,337
5:37,130,31346,337
5:37,321,5466,337
5:36,5,45,336
5:36,567000,556630,336
5:35,357000,542343,335
5:32,9810,338,332
5:32,33300000,15431,332
5:32,506000,60604,332
5:31,4230,316,331
5:31,87600,13549,331
5:31,415000,759888,331
5:31,0,5,331
5:30,567000,446087,330
5:29,1470000,4471,329
5:29,0,7662,329
5:29,0,8155,329
5:27,0,0,327
5:25,56200,4552311,325
5:25,87600,16980,325
5:24,1080,4488,324
5:24,1120,5514,324
5:23,87600,20576,323
5:23,87600,26789,323
5:22,0,7437,322
5:21,87600,17356,321
5:21,87600,28285,321
5:21,143,24,321
5:21,27000,7,321
5:21,254000,51539,321
5:21,15300,6274,321
5:21,840,174,321
5:20,87600,16027,320
5:20,7410,11709,320
5:20,412000,78152,320
5:19,432,17663,319
5:19,1,1,319
5:19,87600,115663,319
5:18,0,784,318
5:18,94,1115,318
5:17,0,101,317
5:16,10700,1040,316
5:15,104000,66282,315
5:13,9250,18937,313
5:13,9830,21115,313
5:13,567000,32754,313
5:12,8660,18,312
5:12,3310000,921968,312
5:12,1550000,547456,312
5:12,611000,142542,312
5:11,1680,23356,311
5:10,2160,4725,310
5:10,2390,5090,310
5:10,3130,487,310
5:10,567000,1381119,310
5:09,1000,1,309
5:09,87600,67732,309
5:09,357000,897015,309
5:09,41,1179,309
5:05,446,264,305
5:05,325,74,305
5:05,0,8,305
5:05,132,7146,305
5:04,588000,4521,304
5:04,87600,31155,304
5:04,98900,1448829,304
5:04,1670000,589900,304
5:00,4070,41850,300
5:00,4070,11513,300
5:00,87600,29300,300
5:00,4070,166639,300
4:59,1470000,8266,299
4:59,242,371,299
4:59,0,0,299
4:59,4070,10147,299
4:58,2390,4539,298
4:58,567000,849150,298
4:58,567000,389085,298
4:57,891,52,297
4:57,87600,42049,297
4:56,87600,37912,296
4:53,1,7,293
4:52,13300,39500,292
4:52,365,10896,292
4:51,42700,24567,291
4:51,4,0,291
4:50,567000,534798,290
4:50,27400,14406,290
4:48,149,4,288
4:46,647,91,286
4:46,499000,3422485,286
4:46,87600,22701,286
4:46,11900,21356,286
4:45,87600,17919,285
4:44,87600,199678,284
4:44,87600,72415,284
4:43,1480,4866,283
4:43,17900,10367,283
4:42,2390000,1105386,282
4:41,0,1185595,281
4:41,44100,3169,281
4:41,0,1209256,281
4:40,167000,18633,280
4:40,1370000,134890,280
4:39,634,268,279
4:39,0,4520,279
4:39,567000,36610,279
4:38,133000,85714,278
4:37,3940,2557,277
4:36,87600,27564,276
4:35,20,1,275
4:35,1190000,48329,275
4:34,107000,3493,274
4:34,987000,5474392,274
4:33,16900,1515,273
4:33,87600,47500,273
4:32,87600,24728,272
4:32,87600,19206,272
4:32,87600,12995,272
4:30,0,1068,270
4:30,4900000,32003,270
4:30,176000,348841,270
4:30,1550000,28279,270
4:30,6990000,10598,270
4:30,567000,225080,270
4:29,422,68,269
4:29,1,2,269
4:29,77200,54923,269
4:29,1040000,66286,269
4:29,8230,3463,269
4:28,873,708,268
4:28,0,92,268
4:27,2160,3708,267
4:27,2390,4388,267
4:27,6990000,91605,267
4:26,16500,1157,266
4:26,2390,2641,266
4:25,51500,6453,265
4:25,2270000,1007385,265
4:24,11200,4981,264
4:24,567000,272890,264
4:24,14700,1954883,264
4:22,357000,104382,262
4:21,298000,21066,261
4:21,57100,142,261
4:21,53600,114328,261
4:21,1340,74,261
4:21,1390,63,261
4:20,1170,119672,260
4:19,3040000,21039,259
4:19,567000,439479,259
4:18,4370,18648,258
4:18,7500,3717,258
4:18,87600,30769,258
4:18,567000,45767,258
4:14,87600,18836,254
4:13,2210,7262,253
4:12,939,205,252
4:11,567000,916511,251
4:09,785,2518,249
4:08,0,1956,248
4:08,0,2382,248
4:08,0,3,248
4:07,1,1,247
4:07,7860,259,247
4:07,589000,197164,247
4:05,1960,183,245
4:05,308,471,245
4:05,16000,6984,245
4:04,68400,2090,244
4:04,11100,1988,244
4:04,313,2086,244
4:04,87600,14614,244
4:04,567000,563062,244
4:03,205000,185119,243
4:01,293,21122,241
4:01,603000,52105,241
4:01,186000,12920,241
4:00,0,71436,240
4:00,204000,88602,240
3:59,757000,235343,239
3:59,87600,42359,239
3:58,0,0,238
3:58,3530,1534,238
3:58,604000,48048,238
3:57,87600,12926,237
3:57,4990,16920,237
3:56,1170,37,236
3:56,2080,67,236
3:54,3,1056,234
3:54,87600,16773,234
3:53,511,2148,233
3:53,0,15,233
3:52,87600,87159,232
3:51,567000,1097831,231
3:50,5160000,91504,230
3:49,87600,10801,229
3:49,87600,54248,229
3:49,45,1550,229
3:48,87600,22615,228
3:48,515,20,228
3:47,1140,1558,227
3:47,5880,2298,227
3:46,567000,511270,226
3:44,411,281,224
3:44,87600,150345,224
3:44,249000,3575,224
3:43,11300,20263,223
3:43,69800,10222,223
3:43,8270,19,223
3:42,567000,166186,222
3:42,567000,864193,222
3:41,992,49,221
3:40,0,9,220
3:36,18,2738,216
3:35,36,18,215
3:35,0,30,215
3:35,293,4053,215
3:35,567000,238329,215
3:34,2390,1044,214
3:34,828,186,214
3:34,567000,419989,214
3:33,236000,48833,213
3:33,87600,51786,213
3:32,11200,2191,212
3:32,949000,879903,212
3:32,3700000,61117,212
3:32,20300,21221,212
3:32,121000,59765,212
3:32,20800,29010,212
3:32,567000,185878,212
3:29,3140,325,209
3:29,0,35,209
3:29,567000,161443,209
3:28,7280,2464,208
3:28,37300,791161,208
3:28,0,160339,208
3:28,2550000,152459,208
3:28,1230000,161214,208
3:27,9850,18941,207
3:27,87600,16688,207
3:26,1920,448,206
3:25,0,237,205
3:25,343,6387,205
3:23,718,297,203
3:22,2390,3053,202
3:21,64,1266,201
3:20,76800,6114,200
3:20,201,74,200
3:20,82500,6180,200
3:20,567000,92017,200
3:20,40100,68278,200
3:20,292000,42935,200
3:19,804,395,199
3:19,42,81,199
3:19,87600,44396,199
3:19,87600,13785,199
3:18,10700,6347,198
3:18,2090,168,198
3:18,10800,6368,198
3:18,968,55,198
3:17,14,808,197
3:17,148,0,197
3:16,2020000,3198,196
3:16,3270000,1469740,196
3:15,38,1,195
3:14,11,20,194
3:14,13000,810,194
3:12,13000,16384,192
3:12,513000,104579,192
3:12,116000,9184,192
3:11,16,6,191
3:11,319000,13074,191
3:11,4670,11207,191
3:10,48800,342,190
3:09,87600,14669,189
3:07,229000,2192,187
3:06,87600,401750,186
3:06,305,9,186
3:06,7560,1275,186
3:05,0,155,185
3:05,1470000,26067,185
3:05,893,370,185
3:05,1490000,26133,185
3:04,22,8502,184
3:03,0,31877,183
3:02,22,19,182
3:01,380,3180,181
3:01,39,25,181
3:01,5,1,181
3:00,2020000,794,180
3:00,0,1188,180
3:00,87600,45384,180
3:00,87600,18759,180
2:59,87600,15515,179
2:58,294000,3233,178
2:58,18500,10415,178
2:58,1520,820,178
2:58,1940,1704,178
2:58,14400,23740,178
2:57,5060,51568,177
2:57,66,179,177
2:56,3040,123,176
2:56,859,677,176
2:56,26600,390,176
2:56,0,625,176
2:55,45,32,175
2:54,87600,83056,174
2:53,171000,25389,173
2:53,685,9821,173
2:53,4,52,173
2:52,2610,8793,172
2:51,53,300,171
2:51,87600,61806,171
2:50,0,1215,170
2:50,274000,716477,170
2:50,0,1237,170
2:50,40300,172,170
2:49,84000,6388,169
2:49,625,246,169
2:48,567000,363372,168
2:47,87600,1197498,167
2:47,60,7,167
2:46,165000,36563861,166
2:46,17500,1751,166
2:46,28,1394,166
2:46,93,13247,166
2:46,16,646,166
2:46,0,1150,166
2:46,26300,15348,166
2:46,1200,612,166
2:45,19300,6665,165
2:45,1620,2330,165
2:44,0,6,164
2:44,52900,1537,164
2:43,35600,10255,163
2:43,3220,2127,163
2:42,30700,725,162
2:42,568,1322,162
2:42,616,1893,162
2:42,616,2170,162
2:42,14500,1197,162
2:42,19900,4929,162
2:42,3080,7989,162
2:42,1690,13351,162
2:42,3640,12295,162
2:42,360,286,162
2:42,7360,3065,162
2:42,13600,695,162
2:42,544000,4927,162
2:41,820000,11030,161
2:41,18000,2737,161
2:39,159,965,159
2:38,1120,35,158
2:38,8830,8648,158
2:38,909,1509,158
2:38,29,198,158
2:38,567000,161226,158
2:37,5540,37239,157
2:37,0,65,157
2:37,0,830,157
2:37,1370,28317,157
2:37,0,1367,157
2:37,2140000,27408,157
2:36,970,6470,156
2:36,165000,36577158,156
2:36,11200,515,156
2:36,2730,1037,156
2:35,2090,938,155
2:35,0,6521,155
2:35,87600,13047,155
2:34,401000,24,154
2:34,836,405,154
2:34,888,25,154
2:34,87600,97940,154
2:33,92,12301,153
2:33,92,12536,153
2:33,513000,97125,153
2:32,285,432,152
2:31,3550,300,151
2:31,191,468,151
2:30,2110,265,150
2:30,813000,250645,150
2:29,60,1,149
2:28,3430000,27297796,148
2:28,11200,38891,148
2:26,813000,108385,146
2:25,11200,32071,145
2:24,2310,1982,144
2:24,42000,46296,144
2:24,1320000,19682,144
2:23,1,8,143
2:23,13900,27194,143
2:22,0,406,142
2:21,5240,1091,141
2:21,1040000,1519,141
2:20,966,187,140
2:20,0,704,140
2:20,357,630,140
2:20,914,634,140
2:20,3280,700,140
2:20,813000,68139,140
2:20,72400,653354,140
2:19,7670,530,139
2:19,10200,781,139
2:19,31100,7084,139
2:19,87600,98803,139
2:19,785000,1714753,139
2:19,1850000,4196938,139
2:19,127000,357238,139
2:19,448000,1948229,139
2:19,97700,99612,139
2:19,4490000,1046268,139
2:19,5490,14929,139
2:18,87600,27251,138
2:18,1490000,689351,138
2:18,127000,24497,138
2:18,28800,6470,138
2:18,2280,35888,138
2:17,117,4396,137
2:17,423000,109167,137
2:17,40,31,137
2:17,244,0,137
2:16,4380,17760,136
2:16,1560,5148,136
2:16,899,56434,136
2:16,12900000,2077247,136
2:15,548000,4147,135
2:15,3850000,905804,135
2:15,1040000,429324,135
2:15,14,4,135
2:14,311,5,134
2:13,0,41,133
2:12,87600,134940,132
2:11,0,1213,131
2:11,21200,175,131
2:10,3040,172,130
2:10,1930000,9138,130
2:09,224,1122,129
2:09,87600,57555,129
2:08,33000000,15717,128
2:08,48400,14595,128
2:08,137000,915,128
2:08,654,2533,128
2:08,204000,23347,128
2:08,4870000,4258,128
2:08,170000,8979,128
2:08,99500,6255,128
2:08,775,1095,128
2:08,6190,632,128
2:08,0,6757,128
2:08,1310000,2317,128
2:08,20400000,1877051,128
2:08,719,6040,128
2:08,17700,4814,128
2:08,3540,5132,128
2:08,188,20029,128
2:08,948000,16968,128
2:08,7190,1508,128
2:08,1800,568,128
2:08,1500,385,128
2:08,150000,2880,128
2:08,1960,2022,128
2:08,0,136,128
2:08,360,194,128
2:08,902,54,128
2:08,171000,35247,128
2:08,602,2773,128
2:08,67900,8864,128
2:08,10000000,692771,128
2:08,143000,25486,128
2:08,11300,19109,128
2:08,87600,11123,128
2:08,711,6779,128
2:08,99,212,128
2:08,33300000,371100,128
2:08,1210,280909,128
2:08,33300000,23803,128
2:08,66,192,128
2:08,1550000,126647,128
2:08,66,119,128
2:08,62400,62752,128
2:08,0,4279,128
2:08,121000,52780,128
2:08,6600,1630,128
2:08,3400000,100633,128
2:07,57,175,127
2:07,1250,20,127
2:07,296000,5610,127
2:07,464000,110264,127
2:05,610,546,125
2:05,87600,65827,125
2:05,12900000,1875008,125
2:05,1220000,676139,125
2:05,15700000,5885763,125
2:05,12900000,2639398,125
2:04,87600,1044455,124
2:03,5320,4,123
2:03,0,1070,123
2:03,132000,18028,123
2:03,69800,81745,123
2:02,1040,7540,122
2:02,434000,75022,122
2:01,1250,48,121
2:01,45800,75007,121
2:01,3720000,34425,121
2:01,6980,10055,121
2:01,7520,5533,121
2:01,87600,34596,121
2:01,2020000,3577,121
2:01,101000,21061,121
2:01,0,40,121
2:01,1320,28,121
2:01,14700,41,121
2:01,0,27,121
2:01,107000,12354,121
2:00,92100,416526,120
2:00,11200,6141,120
2:00,2,5,120
2:00,87600,3337482,120
2:00,0,46,120
2:00,9950000,6563270,120
1:59,15400,54,119
1:59,854,570,119
1:59,43600,119,119
1:59,16000,55,119
1:59,6270,91057,119
1:58,8520,9479,118
1:58,0,1029,118
1:58,8880,9566,118
1:58,136,27,118
1:57,9070,893,117
1:57,33,505,117
1:57,0,4,117
1:57,567000,77690,117
1:56,1860,1560,116
1:56,9470,2662,116
1:56,482000,45341,116
1:56,55600,26409,116
1:56,53600,44533,116
1:56,139,4807,116
1:55,555,108,115
1:55,0,3526,115
1:55,87600,14833,115
1:55,383000,4453,115
1:54,567000,557701,114
1:53,0,2475,113
1:53,0,1753,113
1:53,0,884,113
1:53,0,1465,113
1:53,0,1020,113
1:53,12200,18115,113
1:53,219000,928,113
1:52,172000,16342,112
1:52,258,158,112
1:52,0,2831,112
1:50,42300,516,110
1:50,87600,118010,110
1:49,927000,50620,109
1:49,3430000,45968,109
1:49,9260,25023,109
1:49,2380,45150,109
1:49,514,141787,109
1:49,1680,10035,109
1:49,578000,14455,109
1:49,13700,3409,109
1:49,534,964,109
1:49,904,12768,109
1:49,13700,16122,109
1:49,4870000,8160,109
1:49,1780,602,109
1:49,73800,8026,109
1:49,2080000,75208,109
1:49,21,1218,109
1:49,0,42911,109
1:49,1310000,93022,109
1:49,797,1345,109
1:49,46100,16467,109
1:49,0,1503,109
1:49,47300,1488,109
1:49,112000,69098,109
1:49,16,2558,109
1:49,9890,15514,109
1:49,132,2695,109
1:49,4870000,43407,109
1:49,3030,33069,109
1:49,188,19648,109
1:49,0,28550,109
1:49,96800,67453,109
1:49,0,1071,109
1:49,0,4934,109
1:49,0,1942,109
1:49,1020000,12450,109
1:49,50,6033,109
1:49,296,3353,109
1:49,33600,43928,109
1:49,949,7188,109
1:49,96800,18124,109
1:49,20700,125732,109
1:49,370,10075,109
1:49,188000,28131,109
1:49,929,5943,109
1:49,0,18870,109
1:49,158,30587,109
1:49,144,108,109
1:49,632,134,109
1:49,16700,1145,109
1:49,3010,2522,109
1:49,4620000,105393,109
1:49,37900,7792,109
1:49,11300,32896,109
1:49,734000,222163,109
1:49,68000,17928,109
1:49,33300000,723274,109
1:49,109000,293391,109
1:49,3730,992,109
1:49,616,1968,109
1:49,616,2028,109
1:49,1300,281,109
1:49,74600,255,109
1:49,0,431,109
1:49,257000,138028,109
1:49,28200,120679,109
1:49,567000,644053,109
1:49,207000,54989,109
1:49,567000,414801,109
1:49,1900000,2110906,109
1:49,1230000,232946,109
1:49,14400,58954,109
1:49,180000,1347258,109
1:49,60700,100180,109
1:49,567000,446625,109
1:49,295,7108,109
1:49,1850000,2208154,109
1:49,1850000,1192977,109
1:49,567000,393350,109
1:49,5910,14425,109
1:49,3490,30977,109
1:49,2550,1222,109
1:49,102000,30414,109
1:49,40900,4894,109
1:49,139000,33647,109
1:49,1670000,109092,109
1:48,175000,317225,108
1:48,193000,52286,108
1:48,162000,55655,108
1:48,626000,16492,108
1:48,193000,478161,108
1:48,1620,5044,108
1:48,174000,15019,108
1:48,217000,42479,108
1:48,144000,57919,108
1:48,37700,1419,108
1:48,8220,153308,108
1:47,14400,1809,107
1:47,1170,237,107
1:46,15800,203,106
1:46,19100,241,106
1:44,10600,101227,104
1:44,1580,82,104
1:44,1930,371,104
1:44,11000,103311,104
1:43,38600,2408,103
1:43,3,2383,103
1:43,17400,17977,103
1:43,162000,67908,103
1:43,1490000,7430501,103
1:43,32900,355918,103
1:43,27900,134647,103
1:43,338000,32022,103
1:43,316,3041,103
1:43,626000,375476,103
1:43,438000,1916292,103
1:43,11300,24819,103
1:43,25000,2949,103
1:43,286000,45870,103
1:42,1720,10876,102
1:42,52,2,102
1:42,1730,10978,102
1:42,4,7,102
1:42,4620000,347708,102
1:41:47,77500,10912,101.7833333
1:41,0,85516,101
1:41,8,1,101
1:41,5670,1393,101
1:41,87600,302564,101
1:40,229,126765,100
1:39,771,1997,99
1:39,383,491,99
1:39,296000,148058,99
1:38,641000,9080258,98
1:38,0,2148212,98
1:38,105000,58874,98
1:38,0,1453,98
1:38,774,59,98
1:38,0,2867,98
1:38,0,106,98
1:38,0,167140,98
1:38,3830,112,98
1:37,467,2124,97
1:37,778,2,97
1:37,42,0,97
1:37,274000,1250871,97
1:37,589000,108932,97
1:37,15700,3641,97
1:36,4620000,231873,96
1:36,9070,60431,96
1:36,197000,10305,96
1:36,2270000,169296,96
1:36,8900,402,96
1:36,4350000,1826589,96
1:36,180000,42065,96
1:36,679000,114620,96
1:35,104,543,95
1:34,2130,735,94
1:34,1010,1345,94
1:34,104000,47119,94
1:34,678000,11812,94
1:34,357000,953219,94
1:34,1040000,1283438,94
1:34,2,46,94
1:32,11300,4131,92
1:32,12900000,5978126,92
1:32,45600,41824,92
1:31,175000,3086,91
1:31,87600,254340,91
1:30,4440,12767,90
1:30,33000000,5408,90
1:30,46,12337,90
1:30,211,2988,90
1:30,4870000,1925,90
1:30,252000,203,90
1:30,890000,34151,90
1:30,0,3792,90
1:30,3040,466,90
1:30,3840,2745,90
1:30,4020,719,90
1:30,3130,2329,90
1:30,168000,21672,90
1:30,296000,3394,90
1:30,1120,24,90
1:29,507,91,89
1:29,33300000,42837,89
1:29,0,9,89
1:29,616,2107,89
1:29,57,3269,89
1:29,282000,6772,89
1:28,5320,9,88
1:27,312,252,87
1:27,592000,2594,87
